# Gene Family	HSM7J4NY_Abundance-RPKs
K00600|g__Bacteroides.s__Bacteroides_caccae	1.684
K00600|g__Bacteroides.s__Bacteroides_stercoris	3.366
K00600|g__Bacteroides.s__Bacteroides_uniformis	4.205
K00600|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	4.199
K00600|g__Bacteroides.s__Bacteroides_vulgatus	3.364
K00600|g__Parabacteroides.s__Parabacteroides_distasonis	21.897
K00600|g__Parabacteroides.s__Parabacteroides_merdae	20.163
K00602	27.925
K00602|g__Bacteroides.s__Bacteroides_caccae	2.783
K00602|g__Bacteroides.s__Bacteroides_stercoris	6.278
K00602|g__Bacteroides.s__Bacteroides_uniformis	7.69
K00602|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	9.089
K00602|g__Bacteroides.s__Bacteroides_vulgatus	1.386
K00602|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.7
K00605	99.242
K00605|g__Alistipes.s__Alistipes_finegoldii	12.851
K00605|g__Bacteroides.s__Bacteroides_stercoris	2.001
K00605|g__Bacteroides.s__Bacteroides_uniformis	15.065
K00605|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	41.138
K00605|g__Bacteroides.s__Bacteroides_vulgatus	9.07
K00605|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	6.03
K00605|g__Parabacteroides.s__Parabacteroides_distasonis	1.008
K00605|g__Parabacteroides.s__Parabacteroides_merdae	12.079
K00606	49.365
K00606|g__Bacteroides.s__Bacteroides_vulgatus	15.065
K00606|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	19.211
K00606|g__Parabacteroides.s__Parabacteroides_distasonis	15.089
K00609	137.89
K00609|g__Bacteroides.s__Bacteroides_caccae	12.957
K00609|g__Bacteroides.s__Bacteroides_stercoris	4.801
K00609|g__Bacteroides.s__Bacteroides_uniformis	35.069
K00609|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	43.319
K00609|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	23.663
K00609|g__Parabacteroides.s__Parabacteroides_distasonis	7.227
K00609|g__Parabacteroides.s__Parabacteroides_merdae	10.854
K00616	72.759
K00616|g__Parabacteroides.s__Parabacteroides_distasonis	7.006
K00616|g__Parabacteroides.s__Parabacteroides_merdae	17.704
K00616|unclassified	48.049
K00626	127.113
K00626|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	127.113
K00651	17.874
K00651|g__Parabacteroides.s__Parabacteroides_distasonis	5.954
K00651|g__Parabacteroides.s__Parabacteroides_merdae	11.92
K00657	26.272
K00657|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	10.264
K00657|unclassified	16.009
K00674	59.814
K00674|g__Alistipes.s__Alistipes_finegoldii	59.814
K00705	31.88
K00705|unclassified	31.88
K00721	51.526
K00721|g__Bacteroides.s__Bacteroides_vulgatus	9.08
K00721|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	13.678
K00721|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	28.768
K00760	53.983
K00760|g__Bacteroides.s__Bacteroides_caccae	38.305
K00760|unclassified	15.679
K00762	11.013
K00762|g__Bacteroides.s__Bacteroides_caccae	3.666
K00762|g__Bacteroides.s__Bacteroides_stercoris	1.845
K00762|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	5.501
K00764	20.235
K00764|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	20.235
K00765	7.789
K00765|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	7.789
K00767	29.755
K00767|g__Bacteroides.s__Bacteroides_caccae	3.979
K00767|g__Bacteroides.s__Bacteroides_uniformis	7.958
K00767|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	7.935
K00767|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	9.883
K00772	8.696
K00772|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	8.696
K00783	11.333
K00783|unclassified	11.333
K00793	15.948
K00793|unclassified	15.948
K00794	59.356
K00794|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	22.256
K00794|unclassified	37.101
K00800	137.62
K00800|g__Alistipes.s__Alistipes_finegoldii	27.732
K00800|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	26.627
K00800|unclassified	83.262
K00809	15.737
K00809|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	15.737
K00812	13.117
K00812|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	13.117
K00826	29.249
K00826|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	29.249
K00831	140.284
K00831|g__Bacteroides.s__Bacteroides_uniformis	12.294
K00831|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	17.442
K00831|g__Bacteroides.s__Bacteroides_vulgatus	39.883
K00831|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	41.935
K00831|g__Parabacteroides.s__Parabacteroides_distasonis	28.729
K00845	10.946
K00845|unclassified	10.946
K00850	87.67
K00850|g__Bacteroides.s__Bacteroides_caccae	3.377
K00850|g__Bacteroides.s__Bacteroides_stercoris	41.49
K00850|g__Bacteroides.s__Bacteroides_uniformis	24.76
K00850|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	18.042
K00857	20.507
K00857|g__Alistipes.s__Alistipes_finegoldii	20.507
K00859	10.645
K00859|unclassified	10.645
K00869	9.23
K00869|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	9.23
K00876	42.843
K00876|g__Bacteroides.s__Bacteroides_caccae	3.568
K00876|g__Bacteroides.s__Bacteroides_stercoris	15.595
K00876|g__Bacteroides.s__Bacteroides_uniformis	0.63
K00876|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	23.05
K00912	34.6
K00912|unclassified	34.6
K00919	12.788
K00919|unclassified	12.788
K00925	14.518
K00925|unclassified	14.518
K00927	9.845
K00927|g__Parabacteroides.s__Parabacteroides_distasonis	5.093
K00927|g__Parabacteroides.s__Parabacteroides_merdae	4.752
K00931	86.527
K00931|unclassified	86.527
K00939	27.52
K00939|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	27.52
K00940	58.346
K00940|g__Bacteroides.s__Bacteroides_caccae	13.391
K00940|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	44.954
K00942	71.33
K00942|g__Alistipes.s__Alistipes_finegoldii	35.64
K00942|unclassified	35.69
K00945	18.546
K00945|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	18.546
K00946	14.335
K00946|unclassified	14.335
K00948	79.597
K00948|g__Bacteroides.s__Bacteroides_uniformis	13.301
K00948|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	18.901
K00948|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	47.395
K00962	63.444
K00962|g__Alistipes.s__Alistipes_finegoldii	9.332
K00962|g__Alistipes.s__Alistipes_putredinis	22.3
K00962|g__Alistipes.s__Alistipes_putredinis_CAG_67	10.374
K00962|g__Bacteroides.s__Bacteroides_caccae	1.962
K00962|g__Bacteroides.s__Bacteroides_stercoris	6.805
K00962|g__Bacteroides.s__Bacteroides_uniformis	7.793
K00962|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	4.879
K00969	16.655
K00969|g__Bacteroides.s__Bacteroides_vulgatus	2.096
K00969|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	14.558
K00971	20.697
K00971|unclassified	20.697
K00973	31.54
K00973|g__Alistipes.s__Alistipes_finegoldii	31.54
K01092	29.175
K01092|g__Alistipes.s__Alistipes_finegoldii	14.512
K01092|unclassified	14.663
K01126	65.141
K01126|g__Alistipes.s__Alistipes_finegoldii	41.858
K01126|unclassified	23.282
K01151	31.218
K01151|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	31.218
K01159	19.044
K01159|g__Alistipes.s__Alistipes_finegoldii	19.044
K01186	64.549
K01186|g__Bacteroides.s__Bacteroides_vulgatus	36.158
K01186|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	28.392
K01190	63.94
K01190|unclassified	63.94
K01258	19.489
K01258|g__Bacteroides.s__Bacteroides_vulgatus	11.508
K01258|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	7.981
K01277	11.188
K01277|unclassified	11.188
K01284	43.228
K01284|g__Bacteroides.s__Bacteroides_vulgatus	8.197
K01284|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	6.154
K01284|unclassified	28.877
K01338	22.206
